,match_id,match_date,sard_rank,sard_wr,sard_win,sard_team,t1_avg_rank,t2_avg_rank,t1_med_rank,t2_med_rank,t1_best_rank,t2_best_rank,t1_lowest_rank,t2_lowest_rank,t1_avg_role_note,t2_avg_role_note,t1_avg_wr,t2_avg_wr,t1_med_wr,t2_med_wr,t1_best_wr,t2_best_wr,t1_lowest_wr,t2_lowest_wr
38,KR_5948438498,2022-06-02 19:35:50.058,3.5,53.398058252427184,True,2,2.6399999999999997,2.4799999999999995,2.8,2.4499999999999997,2.8000000000000003,3.5,2.0,2.0,12.6,14.2,57.19847237857043,53.77470728178115,51.80180180180181,53.398058252427184,72.1311475409836,69.04761904761905,48.13084112149533,40.310077519379846
39,KR_5948475363,2022-06-02 19:01:36.292,3.5,53.398058252427184,True,1,2.84,2.96,2.8,2.8,3.5,3.2,2.25,2.8,14.6,13.6,51.20732653550101,55.232022843461024,51.515151515151516,51.62907268170426,56.02836879432624,65.51724137931035,47.107438016528924,50.75187969924813
40,KR_5948441512,2022-06-02 18:15:36.832,3.5,53.398058252427184,False,1,2.95,2.84,3.15,3.2,3.5,3.5,2.0,2.0,17.0,17.4,48.40157561003305,53.359722983783136,48.92125134843582,54.54545454545454,53.65853658536586,63.26530612244898,42.10526315789473,38.46153846153847
41,KR_5948375805,2022-06-02 17:32:56.179,3.5,53.398058252427184,False,2,2.4799999999999995,2.9,2.8,3.5,2.8,3.5,2.0,2.0,16.2,15.2,49.62665595465701,44.99333714068151,49.83974358974359,50.0,57.692307692307686,53.398058252427184,38.70967741935484,33.33333333333333
42,KR_5948361134,2022-06-02 16:58:46.302,3.5,53.398058252427184,True,1,2.7600000000000002,3.05,2.8,3.35,3.5,3.5,2.0,2.0,14.0,13.0,52.19290737973604,48.160454501074014,50.0,47.709797891036914,76.47058823529412,63.888888888888886,40.0,33.33333333333333
43,KR_5948207445,2022-06-02 16:31:20.500,3.5,53.398058252427184,True,2,3.0200000000000005,3.1799999999999997,2.8,3.2,3.5,3.5,2.8,2.8,8.8,9.8,46.55726833348824,51.2816143118248,47.8448275862069,51.65876777251185,51.74999999999999,53.398058252427184,37.735849056603776,46.93877551020408
44,KR_5948192883,2022-06-02 16:04:52.340,3.5,53.398058252427184,False,2,2.72,2.7600000000000002,2.8,2.8,4.0,3.5,2.0,2.0,12.2,11.0,51.95277687908172,50.172398851044974,54.43037974683544,53.398058252427184,59.523809523809526,53.75,41.0958904109589,42.857142857142854
45,KR_5948095382,2022-06-02 15:22:54.229,3.5,53.398058252427184,True,2,3.04,2.8600000000000003,3.2,2.8,4.0,3.5,2.0,2.0,16.0,16.6,53.93403745662063,54.17213699943507,52.34042553191489,53.398058252427184,59.67741935483871,63.1578947368421,51.8348623853211,47.340425531914896
46,KR_5948058074,2022-06-02 14:41:45.967,3.5,53.398058252427184,False,1,2.62,2.2666666666666666,2.8000000000000003,2.0,3.5,2.8,2.0,2.0,14.6,16.333333333333332,47.71040957759673,48.92976029818135,51.02040816326531,50.76923076923077,53.398058252427184,50.877192982456144,38.46153846153847,45.14285714285714
47,KR_5948062371,2022-06-02 14:03:16.373,3.5,53.398058252427184,False,1,3.22,2.54,3.5,2.4499999999999997,3.5,3.2,2.8,2.0,14.4,16.8,48.32334629422008,54.4108784552951,49.09090909090909,52.17391304347826,53.398058252427184,64.93506493506493,43.18181818181818,45.45454545454545
